id,sol #,"city, state",miles,hours,bid_due,duration,pay_rate
634, 810-206-25,"Santa Rosa Beach, Florida",10365,2500,"Dec 09, 2025",70,$24.96
938, 810-869-25,"Watford City, North Dakota",2121.5,1263,"Jun 09, 2025",24,$23.30
940,"810-878-25","Ovalo, Texas",15638.4,1086,"Jun 09, 2025",24,$24.96
941,810-874-25,"Pottstown, Pennsylvania",9395.2,2475,"Jun 12, 2025",77,$24.96
943,810-880-25,,10607.5,2374,"Jun 09, 2025",70,$25.25
944, 810-882-25,"Harkers Island, North Carolina",7273.7,2010,"Jun 10, 2025",73,$24.96
945, 810-887-25,"Roscommon, Michigan",12304.6,1748,"Jun 16, 2025",76,$23.30
946, 810-886-25,"Mathews, Virginia",24397.1,2829,"Jun 09, 2025",77,$24.96
947, 810-885-25,"Flagler Beach, Florida",3303.5,2864,"Jun 11, 2025",73,$24.96
949, 810-894-25,"Creede, Colorado",14856.3,1749,"Jun 10, 2025",63,$25.25
950, 810-903-25,"Phillips, Wisconsin",26700.5,2202,"Jun 11, 2025",73,$23.30
951, 810-902-25,"Eldon, Missouri",16335.7,2451,"Jun 09, 2025",72,$23.30
952, 810-891-25,"Epes, Alabama",25397.3,1283,"Jun 12, 2025",73,$24.96
953, 810-872-25,"Billings, Montana",13456.3,1869,"Jun 16, 2025",72,$25.25
954, 810-892-25,"Baker, Montana",26822,848,"Jun 16, 2025",72,$25.25
955, 810-905-25,"Plevna, Montana",35101.5,1366,"Jun 19, 2025",72,$25.25
956, 810-893-25,"Baker, Montana",21699.8,944,"Jun 18, 2025",72,$25.25
957, 810-904-25,"Roundup, Montana",43035.9,1237,"Jun 18, 2025",72,$25.25
958, 810-906-25,"Uniontown, Pennsylvania",27670.3,2586,"Jun 10, 2025",67,$24.96
959, 810-907-25,"Uniontown, Pennsylvania",32519.4,2096,"Jun 10, 2025",67,$24.96
960, 810-865-25,"Eastpoint, Florida",8880,2066,"Jun 13, 2025",73,$24.96
961, 810-908-25,"Warren, Pennsylvania",37302.3,2277,"Jun 10, 2025",67,$24.96
962, 810-819-25,"Fort Bragg, California",21214.9,1288,"Jun 23, 2025",62,$25.25
963, 810-909-25,"Lake Ozark, Missouri",11425.7,2157,"Jun 10, 2025",72,$23.30
964, 810-866-25,"Santa Rosa Beach, Florida",7879.8,2273,"Jun 13, 2025",73,$24.96
965, 810-867-25,"Davis, Oklahoma",23548.5,1440,"Jun 13, 2025",73,$24.96
966,810-913-25,"Royal Oak, Maryland",9698.2,1727,"Jun 20, 2025",71,$24.96
967, 810-911-25,"Plato, Missouri",25185.1,1869,"Jun 10, 2025",72,$23.30
968, 810-910-25,"Palm Bay, Florida",5212.8,1414,"Jun 24, 2025",63,$24.96
969,810-914-25,"Thibodaux, Louisiana",11304.5,2576,"Jun 20, 2025",70,$24.96
970,810-916-25,"Lyon Mountain, New York",13698.8,1793,"Jun 16, 2025",76,$23.36
971, 810-654-25,"Angwin, California",7408.8,2227,"Jun 25, 2025",67,$25.25
972, 810-925-25,"Brownsville, Kentucky",24760.8,2399,"Jun 17, 2025",0,$23.30
974, 810-779-25,Las Vegas,4546.1,1642,"Jun 16, 2025",70,$0.00
975, 810-777-25,Las Vegas,5728,1869,"Jun 16, 2025",70,$0.00
976, 810-774-25,Las Vegas,7273.7,1869,"Jun 16, 2025",70,$0.00
977, 810-778-25,Las Vegas,4697.6,1743,"Jun 16, 2025",70,$0.00
978, 810-919-25,"Cornish, Maine",20214.7,1667,"Jul 10, 2025",70,$23.36
979, 810-926-25,#FIELD!,8061.7,2000,"Jun 16, 2025",67,$24.96
